date,fgp,tgp,cp,n,fgp_a,tgp_a,cp_a,new_n,used_n
2020-06-01,279475.57,683496.61,7927421.78,306,913.3188562091503,2233.6490522875815,25906.607124183007,145,161
2020-07-01,355339.84,705062.37,7337826.52,295,1204.5418305084747,2390.04193220339,24873.98820338983,135,159
2020-08-01,400439.5,751865.07,8090000.58,300,1334.7983333333334,2506.2169,26966.6686,147,152
2020-09-01,373113.82,768005,7796518.83,272,1371.7419852941177,2823.547794117647,28663.672169117646,138,134
2020-10-01,357390.52,805725.97,8287268.77,293,1219.762866894198,2749.9179863481227,28284.19375426621,153,140
2020-11-01,389627.36,874674.4,9713485.61,343,1135.9398250728862,2550.0711370262393,28319.200029154516,189,154
2020-12-01,360240.04,710480.05,7651403.61,278,1295.8274820143884,2555.6836330935253,27523.034568345323,154,124
2021-01-01,398682.12,747564.27,7603393.03,283,1408.7707420494698,2641.569858657244,26867.113180212014,133,150
2021-02-01,348265,675373.33,6392531.95,233,1494.6995708154507,2898.597982832618,27435.759442060087,123,110
2021-03-01,446908.15,963486.33,9933958.83,376,1188.585505319149,2562.4636436170213,26420.103271276595,213,163
2021-04-01,596766.45,1137099.27,10393244.36,356,1676.3102528089887,3194.099073033708,29194.50662921348,209,146
2021-05-01,739028.76,1308572.87,11091155.64,390,1894.9455384615385,3355.3150512820516,28438.860615384616,233,157
2021-06-01,622507.99,1056101.38,8091481.34,299,2081.9665217391303,3532.1116387959864,27061.81050167224,175,124
2021-07-01,703309.1900000001,1239811.03,9548332.98,316,2225.661993670886,3923.4526265822788,30216.243607594937,177,139
2021-08-01,607194.02,1009804.83,8079723.51,276,2199.9783333333335,3658.713152173913,29274.36054347826,162,114
2021-09-01,613479.87,1011341.11,6787660.43,248,2473.7091532258064,4077.9883467741934,27369.598508064515,120,128
2021-10-01,703969.72,1119226.07,8197361.84,227,3101.188193832599,4930.511321585904,36111.72616740088,131,91
2021-11-01,628553.17,986629.18,6916606.39,216,2909.96837962963,4567.727685185186,32021.32587962963,109,103
2021-12-01,645385.14,1022463.65,8651612.39,242,2666.880743801653,4225.056404958677,35750.4644214876,146,91
2022-01-01,670783.1900000001,1108636.77,8833066.99,261,2570.0505363984676,4247.650459770115,33843.1685440613,159,99
2022-02-01,917192.45,1449067.24,10910779.09,322,2848.423757763975,4500.2088198757765,33884.40711180124,164,132
2022-03-01,827816.21,1354014.36,10612581.59,318,2603.1956289308173,4257.906792452831,33372.898081761006,174,135
2022-04-01,538383.89,904110.34,7323849.56,223,2414.277533632287,4054.306457399103,32842.374708520176,112,109
2022-05-01,876466.82,1457459.95,11259107.92,317,2764.879558359621,4597.665457413249,35517.69059936908,201,116
2022-06-01,751291,1267061.62,9618665.72,273,2751.981684981685,4641.251355311356,35233.20776556777,153,115
2022-07-01,855434.7,1463494.17,10940249.64,302,2832.5652317880795,4846.007185430463,36225.99218543046,173,129
2022-08-01,824761.53,1423506.32,10752645.61,299,2758.3997658862877,4760.8907023411375,35962.02545150502,178,121
2022-09-01,527314.93,1026617.32,8447233.72,261,2020.363716475096,3933.39969348659,32364.88015325671,138,123
2022-10-01,894027.68,1557421.39,12470148.52,345,2591.384579710145,4514.264898550724,36145.35802898551,232,113
2022-11-01,572725.18,1110178.92,9730471.22,296,1934.882364864865,3750.604459459459,32873.21358108109,181,115
2022-12-01,537039.51,1118569.8,10970969.42,333,1612.7312612612614,3359.0684684684684,32945.85411411411,198,135
2023-01-01,557996.11,1103345.16,11772712.46,341,1636.3522287390028,3235.616304985337,34524.08346041056,208,130
2023-02-01,472125.93,937468.13,10045998.56,317,1489.3562460567823,2957.312712933754,31690.847192429024,192,125
2023-03-01,518204.23,1105415.35,10678806.69,328,1579.890945121951,3370.1687500000003,32557.337469512193,204,123
2023-04-01,567553.21,1136862.1,11866767.73,362,1567.826546961326,3140.5030386740336,32781.12632596685,239,122
2023-05-01,635353.73,1299659.45,12316102.32,355,1789.7288169014084,3661.0125352112673,34693.245971830984,214,141
2023-06-01,612641.73,1327878.91,12244388.21,380,1612.2150789473683,3494.4181842105263,32222.07423684211,221,159
2023-07-01,517938.6,1130580.1199999999,11499236.73,359,1442.725905292479,3149.2482451253477,32031.30008356546,217,142
2023-08-01,521234.31,1059403.72,11218580.17,343,1519.633556851312,3088.640583090379,32707.23081632653,196,147
