42eeb156b5d2550e47f90a6f7a4e25c1,6fb9929d7f12c4a039ecd7a2da3d18b6,74071a673307ca7459bcf75fbd024e09,1,2022-05-17T19:47:04.000Z,2,2022-05-17T19:59:53.000Z,2,47.855,-122.293,47.888,-122.255,EE,1,1,1,2,"","",3,22.73460810081828,76.52184077688557,4856.364897091461,1,530610501022,530610418101,America/Los_Angeles,America/Los_Angeles,128.16666666666669,021230030020120120,021230030003202220,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
f94188ee8be0ad597271b5ec725c7ac3,70e61f80c5e24ab74cfefaafd75e8be4,74071a673307ca7459bcf75fbd024e09,1,2022-05-19T02:11:13.000Z,3,2022-05-19T03:57:46.000Z,3,47.974,-122.351,47.354,-122.0,EE,1,1,1,2,"","",2,61.25124154127116,237.8209382795161,108771.99643704071,1,530299721001,530330316034,America/Los_Angeles,America/Los_Angeles,43.195945945945944,021230021111131010,021230032031313232,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
8051cc264e8919101ec232e2c1b01be2,73287a6b4d7888e700df04a4a9566dea,0353ab4cbed5beae847a7ff6e220b5cf,1,2022-05-18T10:35:06.000Z,3,2022-05-18T11:26:50.000Z,3,47.306,-122.366,47.896,-122.289,EE,1,1,1,1,"","",1,89.22487762051674,141.43905708905865,76931.67225946776,1,530330303114,530610419011,America/Los_Angeles,America/Los_Angeles,10.815331010452962,021230023133301131,021230030002300313,""
c1cfee33674419df9e0b366e99044d33,7a9d53224740fb3d6ab234739efc9315,74071a673307ca7459bcf75fbd024e09,1,2022-05-19T04:53:21.000Z,3,2022-05-19T05:37:49.000Z,3,47.403,-122.253,47.895,-122.3,EE,1,1,1,2,"","",3,93.4634534850497,233.92854804767993,69266.80386058684,1,530330292061,530610420063,America/Los_Angeles,America/Los_Angeles,56.765957446808514,021230032003222021,021230030002211333,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
ce27dc32c0934d182d37e7cc202cf4cf,80f97e285a1f3b88c5a09850e4575906,0353ab4cbed5beae847a7ff6e220b5cf,1,2022-05-18T06:01:57.000Z,2,2022-05-18T06:25:40.000Z,2,47.644,-122.308,47.917,-122.306,EE,1,1,1,1,"","",3,91.85747049540376,141.44029723110077,36309.21680971099,1,530330062002,530610420014,America/Los_Angeles,America/Los_Angeles,9.951048951048952,021230030202231230,021230030002013233,""
0158573e0c31deaf46d7180c6681c716,8f79e0db2529ce2b5062bacc8ebc0d90,74071a673307ca7459bcf75fbd024e09,1,2022-05-17T00:10:30.000Z,1,2022-05-17T00:23:04.000Z,1,47.854,-122.274,47.919,-122.258,EE,1,1,1,2,"","",2,59.383395486052784,179.63983914297458,12437.522276801055,1,530610518032,530610419032,America/Los_Angeles,America/Los_Angeles,53.857142857142854,021230030020130032,021230030002113310,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
6092d71fef956d23ee859b0edc206d19,97f26b2e9a71bdcd24dca4da53f086ec,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T21:59:41.000Z,3,2022-05-18T22:09:36.000Z,3,47.856,-122.289,47.904,-122.297,EE,1,1,1,2,"","",2,45.1602197797866,122.04948979970003,7463.980769159174,1,530610518031,530610420011,America/Los_Angeles,America/Los_Angeles,66.11111111111111,021230030020120113,021230030002122201,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
fc2cc498773362e8897a3e95dc9e0e68,991aba5586745cd32e3a90a33a5ed75b,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T14:24:55.000Z,3,2022-05-18T14:55:21.000Z,3,47.903,-122.312,47.762,-122.248,EE,1,1,1,2,"","",2,34.45310047813887,101.24930630167509,17475.378186967107,1,530610420013,530330217001,America/Los_Angeles,America/Los_Angeles,140.46153846153848,021230030002032330,021230030023220321,"{\"method\":\"fused\",\"aid_type\":\"IDFA\"}"
c78cf6fd1fea405b128d6a27930c1366,a253da20d71c060cbff0f3aff08eb19f,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T16:28:06.000Z,3,2022-05-18T17:36:07.000Z,3,47.883,-122.28,47.618,-122.184,EE,1,1,1,2,"","",2,53.79964106353955,205.98790158813634,60987.870883418036,1,530610420051,530330237003,America/Los_Angeles,America/Los_Angeles,72.875,021230030002321123,021230030221130031,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
f29291796058b84f2578703e4130bfba,a72948b79f8462f5b891f05333565788,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T19:02:09.000Z,3,2022-05-18T19:14:10.000Z,3,47.835,-122.271,47.922,-122.247,EE,1,1,1,2,"","",2,60.271447565951696,110.74679871648338,12071.03158195866,1,530610518023,530610419031,America/Los_Angeles,America/Los_Angeles,90.125,021230030020310322,021230030003002103,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
